Year,Response,Season,Predictors,ModelEstimate,SE,Significance,Significance
2019,Initiation,Spring,Urban ,-0.001754932,0.002633199,1,ns
2019,Initiation,Summer,Urban ,-0.004403226,0.004727579,1,ns
2019,Initiation,Fall,Urban ,0.000101911,0.001555609,1,ns
2019,Initiation,Full,Urban ,-0.003978094,0.002634225,2,*
2019,Initiation,Spring,Size ,-0.001710385,0.01021243,1,ns
2019,Initiation,Summer,Size ,0.00132769,0.013359774,1,ns
2019,Initiation,Fall,Size ,0.000688959,0.012739016,1,ns
2019,Initiation,Full,Size ,0.000248965,0.008431717,1,ns
2019,Initiation,Spring,Richness ,-0.023186381,0.042605353,1,ns
2019,Initiation,Summer,Richness ,-0.004970453,0.039739002,1,ns
2019,Initiation,Fall,Richness ,-0.058031964,0.065381852,1,ns
2019,Initiation,Full,Richness ,-0.0324049,0.043508587,1,ns
2019,Duration,Spring,Urban ,-0.00024991,0.002745133,1,ns
2019,Duration,Summer,Urban ,0.016364515,0.006181267,2,*
2019,Duration,Fall,Urban ,-0.006991408,0.005886933,2,*
2019,Duration,Full,Urban ,0.002703887,0.003675471,1,ns
2019,Duration,Spring,Size ,0.04570259,0.05093949,1,ns
2019,Duration,Summer,Size ,0.005670728,0.026335883,1,ns
2019,Duration,Fall,Size ,-0.00098643,0.011590541,1,ns
2019,Duration,Full,Size ,0.015554771,0.026575282,1,ns
2019,Duration,Spring,Richness ,0.22660985,0.156933636,2,*
2019,Duration,Summer,Richness ,0.06284994,0.109922692,1,ns
2019,Duration,Fall,Richness ,0.003352755,0.041765143,1,ns
2019,Duration,Full,Richness ,0.171739448,0.092762915,3,**
2019,Peak,Spring,Urban ,-0.006576672,0.003146007,2,*
2019,Peak,Summer,Urban ,-0.00046476,0.001929925,1,ns
2019,Peak,Fall,Urban ,-0.00026985,0.001474614,1,ns
2019,Peak,Full,Urban ,-0.003635876,0.002219851,2,*
2019,Peak,Spring,Size ,-0.000339492,0.01016001,1,ns
2019,Peak,Summer,Size ,-0.003635535,0.015137969,1,ns
2019,Peak,Fall,Size ,0.006642401,0.015178999,1,ns
2019,Peak,Full,Size ,-0.000953622,0.006515658,1,ns
2019,Peak,Spring,Richness ,-0.021804202,0.042999699,1,ns
2019,Peak,Summer,Richness ,0.025599213,0.055369182,1,ns
2019,Peak,Fall,Richness ,-0.002689935,0.02685304,1,ns
2019,Peak,Full,Richness ,-0.00244523,0.018731644,1,ns
2018,Initiation,Spring,Urban ,-0.00064399,0.002875129,1,ns
2018,Initiation,Summer,Urban ,-6.62E-05,0.003083674,1,ns
2018,Initiation,Fall,Urban ,-9.08E-05,0.00164877,1,ns
2018,Initiation,Full,Urban ,-1.18E-04,0.001418458,1,ns
2018,Initiation,Spring,Size ,-0.00446154,0.01717271,1,ns
2018,Initiation,Summer,Size ,-2.72E-03,0.02195709,1,ns
2018,Initiation,Fall,Size ,6.46E-04,0.01081219,1,ns
2018,Initiation,Full,Size ,8.40E-05,0.008820337,1,ns
2018,Initiation,Spring,Richness ,-0.020083909,0.039873252,1,ns
2018,Initiation,Summer,Richness ,-8.85E-02,0.090155009,1,ns
2018,Initiation,Fall,Richness ,-2.78E-02,0.03815912,1,ns
2018,Initiation,Full,Richness ,-7.76E-02,0.031227343,2,*
2018,Duration,Spring,Urban ,-0.01360458,0.005163853,3,**
2018,Duration,Summer,Urban ,0.013523868,0.009415812,2,*
2018,Duration,Fall,Urban ,0.00020104,0.001864397,1,ns
2018,Duration,Full,Urban ,0.000539828,0.00198442,1,ns
2018,Duration,Spring,Size ,0.003835581,0.016623687,1,ns
2018,Duration,Summer,Size ,0.00085921,0.025098708,1,ns
2018,Duration,Fall,Size ,-0.000840978,0.010661508,1,ns
2018,Duration,Full,Size ,0.000350117,0.008659529,1,ns
2018,Duration,Spring,Richness ,0.194591731,0.04949791,4,***
2018,Duration,Summer,Richness ,0.308285808,0.087927427,4,***
2018,Duration,Fall,Richness ,0.005782489,0.0234445,1,ns
2018,Duration,Full,Richness ,0.161041325,0.03363494,4,***
2018,Peak,Spring,Urban ,-0.004309592,0.005390798,1,ns
2018,Peak,Summer,Urban ,0.001193353,0.004214374,1,ns
2018,Peak,Fall,Urban ,-0.001298012,0.002675999,1,ns
2018,Peak,Full,Urban ,-0.001041805,0.002259526,1,ns
2018,Peak,Spring,Size ,0.003033195,0.014942979,1,ns
2018,Peak,Summer,Size ,-0.011560868,0.030493681,1,ns
2018,Peak,Fall,Size ,0.005826085,0.015058002,1,ns
2018,Peak,Full,Size ,0.000350117,0.008659529,1,ns
2018,Peak,Spring,Richness ,0.005668192,0.027229775,1,ns
2018,Peak,Summer,Richness ,-0.001295536,0.037926702,1,ns
2018,Peak,Fall,Richness ,-0.041143215,0.04212153,1,ns
2018,Peak,Full,Richness ,-0.003857317,0.017040483,1,ns
